route,city,template,status,editorial_judgment,current_images,current_video_embeds,current_documents,acquisition_gaps
"/milan/publication/day-4","milan","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/milan-fashion-week.jpg | /assets/evidence/milan-day-4.svg","","/milan/asset-kits/day-4.json | /milan/asset-kits/day-4.md | /assets/evidence/milan-day-4.svg | /milan/kits/day-4.md | /milan/kits/day-4.json | /milan/kits/day-4.md | /milan/kits/day-4.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/milan/publication/day-5","milan","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/milan-fashion-week.jpg | /assets/evidence/milan-day-5.svg","","/milan/asset-kits/day-5.json | /milan/asset-kits/day-5.md | /assets/evidence/milan-day-5.svg | /milan/kits/day-5.md | /milan/kits/day-5.json | /milan/kits/day-5.md | /milan/kits/day-5.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/milan/publication/day-6","milan","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/milan-fashion-week.jpg | /assets/evidence/milan-day-6.svg","","/milan/asset-kits/day-6.json | /milan/asset-kits/day-6.md | /assets/evidence/milan-day-6.svg | /milan/kits/day-6.md | /milan/kits/day-6.json | /milan/kits/day-6.md | /milan/kits/day-6.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/milan/publication/day-7","milan","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/milan-fashion-week.jpg | /assets/evidence/milan-day-7.svg","","/milan/asset-kits/day-7.json | /milan/asset-kits/day-7.md | /assets/evidence/milan-day-7.svg | /milan/kits/day-7.md | /milan/kits/day-7.json | /milan/kits/day-7.md | /milan/kits/day-7.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/milan/publication","milan","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/milan-fashion-week.jpg","","",""
"/paris/publication/day-1","paris","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/paris-fashion-week.jpg | /assets/evidence/paris-day-1.svg","","/paris/asset-kits/day-1.json | /paris/asset-kits/day-1.md | /assets/evidence/paris-day-1.svg | /paris/kits/day-1.md | /paris/kits/day-1.json | /paris/kits/day-1.md | /paris/kits/day-1.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/paris/publication/day-2","paris","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/paris-fashion-week.jpg | /assets/evidence/paris-day-2.svg","","/paris/asset-kits/day-2.json | /paris/asset-kits/day-2.md | /assets/evidence/paris-day-2.svg | /paris/kits/day-2.md | /paris/kits/day-2.json | /paris/kits/day-2.md | /paris/kits/day-2.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/paris/publication/day-3","paris","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/paris-fashion-week.jpg | /assets/evidence/paris-day-3.svg","","/paris/asset-kits/day-3.json | /paris/asset-kits/day-3.md | /assets/evidence/paris-day-3.svg | /paris/kits/day-3.md | /paris/kits/day-3.json | /paris/kits/day-3.md | /paris/kits/day-3.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/paris/publication/day-4","paris","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/paris-fashion-week.jpg | /assets/evidence/paris-day-4.svg","","/paris/asset-kits/day-4.json | /paris/asset-kits/day-4.md | /assets/evidence/paris-day-4.svg | /paris/kits/day-4.md | /paris/kits/day-4.json | /paris/kits/day-4.md | /paris/kits/day-4.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/paris/publication/day-5","paris","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/paris-fashion-week.jpg | /assets/evidence/paris-day-5.svg","","/paris/asset-kits/day-5.json | /paris/asset-kits/day-5.md | /assets/evidence/paris-day-5.svg | /paris/kits/day-5.md | /paris/kits/day-5.json | /paris/kits/day-5.md | /paris/kits/day-5.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/paris/publication/day-6","paris","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/paris-fashion-week.jpg | /assets/evidence/paris-day-6.svg","","/paris/asset-kits/day-6.json | /paris/asset-kits/day-6.md | /assets/evidence/paris-day-6.svg | /paris/kits/day-6.md | /paris/kits/day-6.json | /paris/kits/day-6.md | /paris/kits/day-6.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/paris/publication/day-7","paris","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/paris-fashion-week.jpg | /assets/evidence/paris-day-7.svg","","/paris/asset-kits/day-7.json | /paris/asset-kits/day-7.md | /assets/evidence/paris-day-7.svg | /paris/kits/day-7.md | /paris/kits/day-7.json | /paris/kits/day-7.md | /paris/kits/day-7.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/paris/publication","paris","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/paris-fashion-week.jpg","","",""
"/shanghai/publication/day-1","shanghai","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/shanghai-fashion-week.jpg | /assets/evidence/shanghai-day-1.svg","","/shanghai/asset-kits/day-1.json | /shanghai/asset-kits/day-1.md | /assets/evidence/shanghai-day-1.svg | /shanghai/kits/day-1.md | /shanghai/kits/day-1.json | /shanghai/kits/day-1.md | /shanghai/kits/day-1.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/shanghai/publication/day-2","shanghai","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/shanghai-fashion-week.jpg | /assets/evidence/shanghai-day-2.svg","","/shanghai/asset-kits/day-2.json | /shanghai/asset-kits/day-2.md | /assets/evidence/shanghai-day-2.svg | /shanghai/kits/day-2.md | /shanghai/kits/day-2.json | /shanghai/kits/day-2.md | /shanghai/kits/day-2.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/shanghai/publication/day-3","shanghai","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/shanghai-fashion-week.jpg | /assets/evidence/shanghai-day-3.svg","","/shanghai/asset-kits/day-3.json | /shanghai/asset-kits/day-3.md | /assets/evidence/shanghai-day-3.svg | /shanghai/kits/day-3.md | /shanghai/kits/day-3.json | /shanghai/kits/day-3.md | /shanghai/kits/day-3.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/shanghai/publication/day-4","shanghai","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/shanghai-fashion-week.jpg | /assets/evidence/shanghai-day-4.svg","","/shanghai/asset-kits/day-4.json | /shanghai/asset-kits/day-4.md | /assets/evidence/shanghai-day-4.svg | /shanghai/kits/day-4.md | /shanghai/kits/day-4.json | /shanghai/kits/day-4.md | /shanghai/kits/day-4.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/shanghai/publication/day-5","shanghai","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/shanghai-fashion-week.jpg | /assets/evidence/shanghai-day-5.svg","","/shanghai/asset-kits/day-5.json | /shanghai/asset-kits/day-5.md | /assets/evidence/shanghai-day-5.svg | /shanghai/kits/day-5.md | /shanghai/kits/day-5.json | /shanghai/kits/day-5.md | /shanghai/kits/day-5.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/shanghai/publication/day-6","shanghai","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/shanghai-fashion-week.jpg | /assets/evidence/shanghai-day-6.svg","","/shanghai/asset-kits/day-6.json | /shanghai/asset-kits/day-6.md | /assets/evidence/shanghai-day-6.svg | /shanghai/kits/day-6.md | /shanghai/kits/day-6.json | /shanghai/kits/day-6.md | /shanghai/kits/day-6.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/shanghai/publication/day-7","shanghai","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/shanghai-fashion-week.jpg | /assets/evidence/shanghai-day-7.svg","","/shanghai/asset-kits/day-7.json | /shanghai/asset-kits/day-7.md | /assets/evidence/shanghai-day-7.svg | /shanghai/kits/day-7.md | /shanghai/kits/day-7.json | /shanghai/kits/day-7.md | /shanghai/kits/day-7.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/shanghai/publication","shanghai","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/shanghai-fashion-week.jpg","","",""
"/copenhagen/publication/day-1","copenhagen","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/copenhagen-fashion-week.jpg | /assets/evidence/copenhagen-day-1.svg","","/copenhagen/asset-kits/day-1.json | /copenhagen/asset-kits/day-1.md | /assets/evidence/copenhagen-day-1.svg | /copenhagen/kits/day-1.md | /copenhagen/kits/day-1.json | /copenhagen/kits/day-1.md | /copenhagen/kits/day-1.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/copenhagen/publication/day-2","copenhagen","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/copenhagen-fashion-week.jpg | /assets/evidence/copenhagen-day-2.svg","","/copenhagen/asset-kits/day-2.json | /copenhagen/asset-kits/day-2.md | /assets/evidence/copenhagen-day-2.svg | /copenhagen/kits/day-2.md | /copenhagen/kits/day-2.json | /copenhagen/kits/day-2.md | /copenhagen/kits/day-2.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/copenhagen/publication/day-3","copenhagen","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/copenhagen-fashion-week.jpg | /assets/evidence/copenhagen-day-3.svg","","/copenhagen/asset-kits/day-3.json | /copenhagen/asset-kits/day-3.md | /assets/evidence/copenhagen-day-3.svg | /copenhagen/kits/day-3.md | /copenhagen/kits/day-3.json | /copenhagen/kits/day-3.md | /copenhagen/kits/day-3.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/copenhagen/publication/day-4","copenhagen","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/copenhagen-fashion-week.jpg | /assets/evidence/copenhagen-day-4.svg","","/copenhagen/asset-kits/day-4.json | /copenhagen/asset-kits/day-4.md | /assets/evidence/copenhagen-day-4.svg | /copenhagen/kits/day-4.md | /copenhagen/kits/day-4.json | /copenhagen/kits/day-4.md | /copenhagen/kits/day-4.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/copenhagen/publication/day-5","copenhagen","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/copenhagen-fashion-week.jpg | /assets/evidence/copenhagen-day-5.svg","","/copenhagen/asset-kits/day-5.json | /copenhagen/asset-kits/day-5.md | /assets/evidence/copenhagen-day-5.svg | /copenhagen/kits/day-5.md | /copenhagen/kits/day-5.json | /copenhagen/kits/day-5.md | /copenhagen/kits/day-5.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/copenhagen/publication/day-6","copenhagen","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/copenhagen-fashion-week.jpg | /assets/evidence/copenhagen-day-6.svg","","/copenhagen/asset-kits/day-6.json | /copenhagen/asset-kits/day-6.md | /assets/evidence/copenhagen-day-6.svg | /copenhagen/kits/day-6.md | /copenhagen/kits/day-6.json | /copenhagen/kits/day-6.md | /copenhagen/kits/day-6.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/copenhagen/publication/day-7","copenhagen","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/copenhagen-fashion-week.jpg | /assets/evidence/copenhagen-day-7.svg","","/copenhagen/asset-kits/day-7.json | /copenhagen/asset-kits/day-7.md | /assets/evidence/copenhagen-day-7.svg | /copenhagen/kits/day-7.md | /copenhagen/kits/day-7.json | /copenhagen/kits/day-7.md | /copenhagen/kits/day-7.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/copenhagen/publication","copenhagen","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/copenhagen-fashion-week.jpg","","",""
"/tokyo/publication/day-1","tokyo","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/tokyo-fashion-week.jpg | /assets/evidence/tokyo-day-1.svg","","/tokyo/asset-kits/day-1.json | /tokyo/asset-kits/day-1.md | /assets/evidence/tokyo-day-1.svg | /tokyo/kits/day-1.md | /tokyo/kits/day-1.json | /tokyo/kits/day-1.md | /tokyo/kits/day-1.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/tokyo/publication/day-2","tokyo","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/tokyo-fashion-week.jpg | /assets/evidence/tokyo-day-2.svg","","/tokyo/asset-kits/day-2.json | /tokyo/asset-kits/day-2.md | /assets/evidence/tokyo-day-2.svg | /tokyo/kits/day-2.md | /tokyo/kits/day-2.json | /tokyo/kits/day-2.md | /tokyo/kits/day-2.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/tokyo/publication/day-3","tokyo","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/tokyo-fashion-week.jpg | /assets/evidence/tokyo-day-3.svg","","/tokyo/asset-kits/day-3.json | /tokyo/asset-kits/day-3.md | /assets/evidence/tokyo-day-3.svg | /tokyo/kits/day-3.md | /tokyo/kits/day-3.json | /tokyo/kits/day-3.md | /tokyo/kits/day-3.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/tokyo/publication/day-4","tokyo","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/tokyo-fashion-week.jpg | /assets/evidence/tokyo-day-4.svg","","/tokyo/asset-kits/day-4.json | /tokyo/asset-kits/day-4.md | /assets/evidence/tokyo-day-4.svg | /tokyo/kits/day-4.md | /tokyo/kits/day-4.json | /tokyo/kits/day-4.md | /tokyo/kits/day-4.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/tokyo/publication/day-5","tokyo","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/tokyo-fashion-week.jpg | /assets/evidence/tokyo-day-5.svg","","/tokyo/asset-kits/day-5.json | /tokyo/asset-kits/day-5.md | /assets/evidence/tokyo-day-5.svg | /tokyo/kits/day-5.md | /tokyo/kits/day-5.json | /tokyo/kits/day-5.md | /tokyo/kits/day-5.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/tokyo/publication/day-6","tokyo","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/tokyo-fashion-week.jpg | /assets/evidence/tokyo-day-6.svg","","/tokyo/asset-kits/day-6.json | /tokyo/asset-kits/day-6.md | /assets/evidence/tokyo-day-6.svg | /tokyo/kits/day-6.md | /tokyo/kits/day-6.json | /tokyo/kits/day-6.md | /tokyo/kits/day-6.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/tokyo/publication/day-7","tokyo","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/tokyo-fashion-week.jpg | /assets/evidence/tokyo-day-7.svg","","/tokyo/asset-kits/day-7.json | /tokyo/asset-kits/day-7.md | /assets/evidence/tokyo-day-7.svg | /tokyo/kits/day-7.md | /tokyo/kits/day-7.json | /tokyo/kits/day-7.md | /tokyo/kits/day-7.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/tokyo/publication","tokyo","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/tokyo-fashion-week.jpg","","",""
"/excavation/london/day-1","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/london-fashion-week.jpg","","https://www.britishfashioncouncil.co.uk/uploads/files/1/LFW%20Web%20Development%20ITT%20July%202021%20v2.pdf | /data/excavation/reports/london-day-1.json | /data/excavation/candidates/london-day-1.json",""
"/excavation/london/day-2","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/london-fashion-week.jpg","","/data/excavation/reports/london-day-2.json | /data/excavation/candidates/london-day-2.json",""
"/excavation/london/day-3","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/london-fashion-week.jpg","","/data/excavation/reports/london-day-3.json | /data/excavation/candidates/london-day-3.json",""
"/excavation/london/day-4","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/london-fashion-week.jpg","","/data/excavation/reports/london-day-4.json | /data/excavation/candidates/london-day-4.json",""
"/excavation/london/day-5","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/london-fashion-week.jpg","","/data/excavation/reports/london-day-5.json | /data/excavation/candidates/london-day-5.json",""
"/excavation/london/day-6","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/london-fashion-week.jpg","","https://www.britishfashioncouncil.co.uk/uploads/files/1/LFW%20Web%20Development%20ITT%20July%202021%20v2.pdf | /data/excavation/reports/london-day-6.json | /data/excavation/candidates/london-day-6.json",""
"/excavation/london/day-7","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/london-fashion-week.jpg","","/data/excavation/reports/london-day-7.json | /data/excavation/candidates/london-day-7.json",""
"/excavation/new-york/day-1","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/nyc-fashion-week.jpg","","/data/excavation/reports/new-york-day-1.json | /data/excavation/candidates/new-york-day-1.json",""
"/excavation/new-york/day-2","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/nyc-fashion-week.jpg","","/data/excavation/reports/new-york-day-2.json | /data/excavation/candidates/new-york-day-2.json",""
"/excavation/new-york/day-3","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/nyc-fashion-week.jpg","","/data/excavation/reports/new-york-day-3.json | /data/excavation/candidates/new-york-day-3.json",""
"/excavation/new-york/day-4","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/nyc-fashion-week.jpg","","/data/excavation/reports/new-york-day-4.json | /data/excavation/candidates/new-york-day-4.json",""
"/excavation/new-york/day-5","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/nyc-fashion-week.jpg","","/data/excavation/reports/new-york-day-5.json | /data/excavation/candidates/new-york-day-5.json",""
"/excavation/new-york/day-6","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/nyc-fashion-week.jpg","","/data/excavation/reports/new-york-day-6.json | /data/excavation/candidates/new-york-day-6.json",""
"/excavation/new-york/day-7","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/nyc-fashion-week.jpg","","/data/excavation/reports/new-york-day-7.json | /data/excavation/candidates/new-york-day-7.json",""
"/excavation/milan/day-1","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/milan-fashion-week.jpg","","/data/excavation/reports/milan-day-1.json | /data/excavation/candidates/milan-day-1.json",""
"/excavation/milan/day-2","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/milan-fashion-week.jpg","","/data/excavation/reports/milan-day-2.json | /data/excavation/candidates/milan-day-2.json",""
"/excavation/milan/day-3","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/milan-fashion-week.jpg","","/data/excavation/reports/milan-day-3.json | /data/excavation/candidates/milan-day-3.json",""
"/excavation/milan/day-4","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/milan-fashion-week.jpg","","/data/excavation/reports/milan-day-4.json | /data/excavation/candidates/milan-day-4.json",""
"/excavation/milan/day-5","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/milan-fashion-week.jpg","","/data/excavation/reports/milan-day-5.json | /data/excavation/candidates/milan-day-5.json",""
"/excavation/milan/day-6","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/milan-fashion-week.jpg","","/data/excavation/reports/milan-day-6.json | /data/excavation/candidates/milan-day-6.json",""
"/excavation/milan/day-7","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/milan-fashion-week.jpg","","https://www.cameramoda.it/media/pdf/manifesto_sostenibilita_en.pdf | /data/excavation/reports/milan-day-7.json | /data/excavation/candidates/milan-day-7.json",""
"/excavation/paris/day-1","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/paris-fashion-week.jpg","","/data/excavation/reports/paris-day-1.json | /data/excavation/candidates/paris-day-1.json",""
"/excavation/paris/day-2","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/paris-fashion-week.jpg","","/data/excavation/reports/paris-day-2.json | /data/excavation/candidates/paris-day-2.json",""
"/excavation/paris/day-3","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/paris-fashion-week.jpg","","/data/excavation/reports/paris-day-3.json | /data/excavation/candidates/paris-day-3.json",""
"/excavation/paris/day-4","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/paris-fashion-week.jpg","","/data/excavation/reports/paris-day-4.json | /data/excavation/candidates/paris-day-4.json",""
"/excavation/paris/day-5","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/paris-fashion-week.jpg","","/data/excavation/reports/paris-day-5.json | /data/excavation/candidates/paris-day-5.json",""
"/excavation/paris/day-6","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/paris-fashion-week.jpg","","/data/excavation/reports/paris-day-6.json | /data/excavation/candidates/paris-day-6.json",""
"/excavation/paris/day-7","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/paris-fashion-week.jpg","","/data/excavation/reports/paris-day-7.json | /data/excavation/candidates/paris-day-7.json",""
"/excavation/shanghai/day-1","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/shanghai-fashion-week.jpg","","/data/excavation/reports/shanghai-day-1.json | /data/excavation/candidates/shanghai-day-1.json",""
"/excavation/shanghai/day-2","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/shanghai-fashion-week.jpg","","/data/excavation/reports/shanghai-day-2.json | /data/excavation/candidates/shanghai-day-2.json",""
"/excavation/shanghai/day-3","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/shanghai-fashion-week.jpg","","/data/excavation/reports/shanghai-day-3.json | /data/excavation/candidates/shanghai-day-3.json",""
"/excavation/shanghai/day-4","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/shanghai-fashion-week.jpg","","/data/excavation/reports/shanghai-day-4.json | /data/excavation/candidates/shanghai-day-4.json",""
"/excavation/shanghai/day-5","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/shanghai-fashion-week.jpg","","/data/excavation/reports/shanghai-day-5.json | /data/excavation/candidates/shanghai-day-5.json",""
"/excavation/shanghai/day-6","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/shanghai-fashion-week.jpg","","/data/excavation/reports/shanghai-day-6.json | /data/excavation/candidates/shanghai-day-6.json",""
"/excavation/shanghai/day-7","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/shanghai-fashion-week.jpg","","/data/excavation/reports/shanghai-day-7.json | /data/excavation/candidates/shanghai-day-7.json",""
"/excavation/copenhagen/day-1","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/copenhagen-fashion-week.jpg","","/data/excavation/reports/copenhagen-day-1.json | /data/excavation/candidates/copenhagen-day-1.json",""
"/excavation/copenhagen/day-2","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/copenhagen-fashion-week.jpg","","/data/excavation/reports/copenhagen-day-2.json | /data/excavation/candidates/copenhagen-day-2.json",""
"/excavation/copenhagen/day-3","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/copenhagen-fashion-week.jpg","","/data/excavation/reports/copenhagen-day-3.json | /data/excavation/candidates/copenhagen-day-3.json",""
"/excavation/copenhagen/day-4","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/copenhagen-fashion-week.jpg","","/data/excavation/reports/copenhagen-day-4.json | /data/excavation/candidates/copenhagen-day-4.json",""
"/excavation/copenhagen/day-5","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/copenhagen-fashion-week.jpg","","/data/excavation/reports/copenhagen-day-5.json | /data/excavation/candidates/copenhagen-day-5.json",""
"/excavation/copenhagen/day-6","london","media excavation","partial — installed media present; uniqueness/relevance review required","source-specific document preview or evidence typography; avoid decorative photography","/assets/media/copenhagen-fashion-week.jpg","","/data/excavation/reports/copenhagen-day-6.json | /data/excavation/candidates/copenhagen-day-6.json",""
